분류1,분류2,분류3(기전),성분명,상품명
[1. 순환기계질환],고혈압 치료제,ACEi (pril),Enalapril,레니프릴[cite: 1]
[1. 순환기계질환],고혈압 치료제,ACEi (pril),Perindopril,아서틸[cite: 1]
[1. 순환기계질환],고혈압 치료제,ACEi (pril),Alacepril,세타프릴[cite: 1]
[1. 순환기계질환],고혈압 치료제,ACEi (pril),Captopril,카프릴[cite: 1]
[1. 순환기계질환],고혈압 치료제,ACEi (pril),Ramipril,트리테이스[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Valsartan,디오반[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Telmisartan,미카르디스[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Telmisartan,프리토[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Irbesartan,아프로벨[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Losartan,코자[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Candesartan,아타칸[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Azilsartan,이달비[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Fimasartan,카나브[cite: 1]
[1. 순환기계질환],고혈압 치료제,ARB (sartan),Eprosartan,테베텐[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB (비선택성),Propranolol,인데놀[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB (선택성),Atenolol,테놀민[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB (선택성),Bisoprolol,콩코르[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB (선택성),S-Atenolol,레보테놀[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB(혈관확장성),Nebivolol,네비스톨[cite: 1]
[1. 순환기계질환],고혈압 치료제,BB(혈관확장성),Carvedilol,딜라트렌[cite: 1]
[1. 순환기계질환],고혈압 치료제,NonDHP-CCB,Verapamil,이솝틴[cite: 1]
[1. 순환기계질환],고혈압 치료제,NonDHP-CCB,Diltiazem,헤르벤[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Amlodipine,노바스크[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,s-Amlodipine,레보텐션[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Benidipine,로디엔[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Nifedipine,아달라트[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Nifedipine,니페론[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Nifedipine,코디핀[cite: 1]
[1. 순환기계질환],고혈압 치료제,DHP-CCB,Lercanidipine,자니딥[cite: 1]
[1. 순환기계질환],고혈압 치료제,a1 차단제,Terazosin,일양하이트린[cite: 1]
[1. 순환기계질환],고혈압 치료제,a1 차단제,Doxazosin,카두라엑스엘[cite: 1]
[1. 순환기계질환],고혈압 치료제,혈관확장제,Minoxidil,현대미녹시딜[cite: 1]
[1. 순환기계질환],고혈압 치료제,혈관확장제,Hydralazine,삼진히드랄라진[cite: 1]
[1. 순환기계질환],고혈압 치료제,중추성 교감차단제,Clonidine,베이서방[cite: 1]
[1. 순환기계질환],협심증 치료제,질산염 제제,Nitroglycerin,니트로링구알 스프레이[cite: 1]
[1. 순환기계질환],협심증 치료제,질산염 제제,Nitroglycerin,명문 NTG 설하[cite: 1]
[1. 순환기계질환],협심증 치료제,질산염 제제,Isosorbide dinitrate,이소켓서방[cite: 1]
[1. 순환기계질환],협심증 치료제,BB,-,고혈압 참고[cite: 1]
[1. 순환기계질환],협심증 치료제,CCB,-,고혈압 참고[cite: 1]
[1. 순환기계질환],심부전 치료제,디기탈리스,Digoxin,디고신[cite: 1]
[1. 순환기계질환],심부전 치료제,Beta 흥분제,Dobutamine,토부렉스주[cite: 1]
[1. 순환기계질환],심부전 치료제,PDE 억제제,Milrinone,프리마코주[cite: 1]
[1. 순환기계질환],심부전 치료제,BB,-,고혈압 참고[cite: 1]
[1. 순환기계질환],심부전 치료제,ACEI / ARB,-,고혈압 참고[cite: 1]
[1. 순환기계질환],심부전 치료제,SGLT-2i,-,당뇨 참고[cite: 1]
[1. 순환기계질환],이뇨제,Loop,Furosemide,라식스
[1. 순환기계질환],이뇨제,Loop,Torsemide,토렘
[1. 순환기계질환],이뇨제,Loop,Azosemide,유레틴
[1. 순환기계질환],이뇨제,Loop,Xipamide,디유렉
[1. 순환기계질환],이뇨제,기타 이뇨제,Tolvaptan,삼스카정
[1. 순환기계질환],이뇨제,탄산탈수효소 Inh,Acetazolamide,아세타졸정
[1. 순환기계질환],이뇨제,칼륨보존 이뇨제,Spironolactone,알닥톤
[1. 순환기계질환],이뇨제,칼륨보존 이뇨제,Finerenone,케렌디아(당뇨)
[1. 순환기계질환],이뇨제,칼륨보존 이뇨제,Amiloride,아미로
[1. 순환기계질환],이뇨제,Thiazide 계 및 유사체,Hydrochlorothiazide,다이크로짇
[1. 순환기계질환],이뇨제,Thiazide 계 및 유사체,Indapamide,후루덱스
[1. 순환기계질환],이뇨제,Thiazide 계 및 유사체,Chlorthalidone,이달비클로
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Fluvastatin,레스콜엑스엘
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Pitavastatin,리바로
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Lovastatin,로바로드
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Atorvastatin,리피토
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Rosuvastatin,크레스토
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Simvastatin,조코
[1. 순환기계질환],고지혈증 치료제,HMG-CoA,Pravastatin,메바로친
[1. 순환기계질환],고지혈증 치료제,Fibrate,Fenofibrate,리피딜슈프라
[1. 순환기계질환],고지혈증 치료제,Fibrate,Fenofibric acid Choline,글리펜서방
[1. 순환기계질환],고지혈증 치료제,Fibrate,Fenofibrate,페노시드
[1. 순환기계질환],고지혈증 치료제,Fibrate,Fenofibrate,티지페논
[1. 순환기계질환],고지혈증 치료제,Fibrate,Gemfibrozil,제일로피드
[1. 순환기계질환],고지혈증 치료제,Nicotinic acid 계,Niacin,브이트리주
[1. 순환기계질환],고지혈증 치료제,Nicotinic acid 계,Acipimox,일동올베탐
