분류1,분류2,분류3(기전),성분명,상품명
[4. 알러지 질환],항히스타민제,1세대,Mequitazine,프리마란
[4. 알러지 질환],항히스타민제,1세대,Chlorpheniramine,페니라민
[4. 알러지 질환],항히스타민제,1세대,Hydroxyzine,아디팜
[4. 알러지 질환],항히스타민제,1세대,Diphenhydramine,쿨
[4. 알러지 질환],항히스타민제,1세대,Diphenhydramine,드림
[4. 알러지 질환],항히스타민제,1세대,Triprolidine 함유,액티피드정
[4. 알러지 질환],항히스타민제,1세대,Doxylamine,아론
[4. 알러지 질환],항히스타민제,2세대,Emedastine,레미코트
[4. 알러지 질환],항히스타민제,2세대,Loratadine,로라딘
[4. 알러지 질환],항히스타민제,2세대,Epinastine,알레스틴
[4. 알러지 질환],항히스타민제,2세대,Rupatadine,루파핀
[4. 알러지 질환],항히스타민제,2세대,Ebastine,보령에바스텔
[4. 알러지 질환],항히스타민제,2세대,Bepotastine,투리온
[4. 알러지 질환],항히스타민제,2세대,Mizolastine,미졸
[4. 알러지 질환],항히스타민제,2세대,Azelastine,아젭틴
[4. 알러지 질환],항히스타민제,2세대,Olopatadine,알레락
[4. 알러지 질환],항히스타민제,2세대,Cetirizine,지르텍
[4. 알러지 질환],항히스타민제,2세대,Ketotifen,자디텐
[4. 알러지 질환],항히스타민제,3세대,Fexofenadine,알레그라 120
[4. 알러지 질환],항히스타민제,3세대,Fexofenadine,알레그라 180
[4. 알러지 질환],항히스타민제,3세대,Desloratadine,에리우스
[4. 알러지 질환],항히스타민제,3세대,Levocetirizine,씨잘
[4. 알러지 질환],항히스타민제,3세대,Montelukast+Levocetirizine,몬테리진
[4. 알러지 질환],기타 알러지 약물,비만세포 안정화제,Tanilast,리자벤
[4. 알러지 질환],기타 알러지 약물,비만세포 안정화제,Pemirolast,페미로살
[4. 알러지 질환],기타 알러지 약물,알레르기 유발 추출물,집먼지진드기 알러젠 Ext.,스타로랄 300 설하액
[5. 근골격계 질환],NSAIDS,Salicylate 계,Aspirin,아스피린
[5. 근골격계 질환],NSAIDS,Oxicam 계,Cinnoxicam,시나트롤
[5. 근골격계 질환],NSAIDS,Oxicam 계,Piroxicam,지엘피록시캄
[5. 근골격계 질환],NSAIDS,Oxicam 계,Meloxicam,모빅캡슐
[5. 근골격계 질환],NSAIDS,Oxicam 계,Lornoxicam,제포
[5. 근골격계 질환],NSAIDS,Nicotinic acid 계,Clonixin,파인싹
[5. 근골격계 질환],NSAIDS,Anilide 계,Nimesulide,메수리
