분류1,분류2,분류3(기전),성분명,상품명
향정신병약물,정형 향정신병약물 (FGA),Phenothiazine 계,Chlorpromazine,클로르프로마진
향정신병약물,정형 향정신병약물 (FGA),Phenothiazine 계,Levomepromazine,티세르신[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Phenothiazine 계,Perphenazine,페르페나진[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Butyrophenone 계,Haloperidol,할로페리돌[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Butyrophenone 계,Haloperidol,할로페리돌주[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Benzamide 계,Sulpiride,설피딘[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Diphenylbutylpiperidine 계,Pimozide,명인피모짓[cite: 1]
향정신병약물,정형 향정신병약물 (FGA),Dihydroindole 계,Molindone,모반[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Thiepin 계,Zotepine,로도핀[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Benzisoxazole 계,Paliperidone,인베가서스티나[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Benzisoxazole 계,Paliperidone,인베가서방[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Benzisoxazole 계,Risperidone,리스페달[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Dibenzodiazepine 계,Clozapine,클로자릴[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Dibenzodiazepine 계,Olanzapine,자이프렉사확산[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Dibenzodiazepine 계,Olanzapine,자이프렉사[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Dibenzothiazepine 계,Quetiapine,쎄로켈[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Dibenzothiazepine 계,Quetiapine,쎄로켈서방정[cite: 1]
향정신병약물,비정형 향정신병약물 (SGA),Benzamide 계,Amisulpride,솔리안[cite: 1]
