분류1,분류2,분류3(기전),성분명,상품명
[14. 감염성 질환],항균제-Penicillin 계,Penicillin 단일제,Penicillin G,벤제타실주-희귀
[14. 감염성 질환],항균제-Penicillin 계,Penicillin 단일제,Ampicillin,엠씰린[cite: 1]
[14. 감염성 질환],항균제-Penicillin 계,Beta-lactamase 복합제,Ampicillin+Sulbactam,썰바신[cite: 1]
[14. 감염성 질환],항균제-Penicillin 계,Penicillin 단일제,Amoxicillin,곰실린[cite: 1]
[14. 감염성 질환],항균제-Penicillin 계,Beta-lactamase 복합제,Amoxicillin+Clavulanate,오구멘틴[cite: 1]
[14. 감염성 질환],항균제-Penicillin 계,Beta-lactamase 복합제,Amoxicillin+Clavulanate,아모크라[cite: 1]
[14. 감염성 질환],항균제-Penicillin 계,Beta-lactamase 복합제,Piperacillin+Tazobactam,타박탐[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 1세대,Cephradine,유한세프라딘[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 1세대,Cefadroxil,듀리세프[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 1세대,Cefazolin,종근당세파졸린[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 2세대,Cefaclor,고려세파클러[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 2세대,Cefuroxime,진네트[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 2세대,Cefprozil,프로세질[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 3세대,Cefteram,토미론[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 3세대,Cefcapene,후로목스[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 3세대,Cefdinir,세프다나[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 3세대,Cefixime,슈프락스[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 3세대,Ceftriaxone,세포트리악손[cite: 1]
[14. 감염성 질환],항균제-Cepha 계,Cephalosporin 계 - 4세대,Cefepime,맥스핌주[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Carbapenem 계,Meropenem,메로펜주[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Carbapenem 계,Imipenem+Cilastatin,프리페넴주[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Macrolide 계,Clarithromycin,클래리시드[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Macrolide 계,Azithromycin,지스로맥스[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Quinolone 계,Ciprofloxacin,씨프로바이[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Quinolone 계,Moxifloxacin,아벨록스[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Quinolone 계,Levofloxacin,크라비트[cite: 1]
[14. 감염성 질환],항균제-기타 항생제,Vancomycin 계,Vancomycin,반코진[cite: 1]
[14. 감염성 질환],항바이러스제,항인플루엔자,Oseltamivir,타미플루[cite: 1]
[14. 감염성 질환],항바이러스제,항인플루엔자,Peramivir,페라미플루주[cite: 1]
[14. 감염성 질환],항바이러스제,항B형간염,Entecavir,바라크루드[cite: 1]
[14. 감염성 질환],항바이러스제,항B형간염,Tenofovir,비리어드[cite: 1]
[14. 감염성 질환],항바이러스제,항B형간염,Tenofovir,베믈리디[cite: 1]
[14. 감염성 질환],항바이러스제,항코로나 바이러스,Remdesivir,베클루리[cite: 1]
[14. 감염성 질환],항바이러스제,항코로나 바이러스,Nirmatrevir+Ritonavir,팍스로비드[cite: 1]
[14. 감염성 질환],항진균제,Azole 계,Fluconazole,디푸루칸[cite: 1]
[14. 감염성 질환],항진균제,Azole 계,Itraconazole,스포라녹스[cite: 1]
[14. 감염성 질환],항진균제,Allylamine 계,Terbinafine,라미실정[cite: 1]
[14. 감염성 질환],항결핵제,항균제-1차,Isoniazid,유한짓[cite: 1]
[14. 감염성 질환],항결핵제,항균제-1차,Rifampicin,리팜핀[cite: 1]
[14. 감염성 질환],항결핵제,항균제-1차,Ethambutol,마이암부톨제피[cite: 1]
[14. 감염성 질환],항결핵제,항균제-1차,Pyrazinamide,피라진아미드[cite: 1]
[14. 감염성 질환],구충제,-,Albendazole,젠텔[cite: 1]
[14. 감염성 질환],구충제,-,Flubendazole,젤콤[cite: 1]
[14. 감염성 질환],백신,HPV,9가,가다실 9[cite: 1]
[14. 감염성 질환],백신,대상포진,재조합,싱그릭스[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고억제제,Coumarin 계,Warfarin,와르파린[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고억제제,Heparin 계,Heparin,중외헤파린[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고억제제,Heparin 계,Enoxaparin,크렉산[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-항혈소판제,Cyclooxygenase inh,Aspirin,아스트릭스[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-항혈소판제,P2Y12 inh,Clopidogrel,플라빅스[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-항혈소판제,Phosphodiesterase inh,Cilastazol,프레탈[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고인자 Xa 저해제,-,Rivaroxaban,자렐토[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고인자 Xa 저해제,-,Apixaban,엘리퀴스[cite: 1]
[15. 혈액 및 조혈기관 질환],항응고제-혈액응고인자 Xa 저해제,-,Edoxaban,릭시아나[cite: 1]
[15. 혈액 및 조혈기관 질환],지혈제,항섬유소 용해제,Tranexamic acid,트라넥삼산주[cite: 1]
[15. 혈액 및 조혈기관 질환],지혈제,항섬유소 용해제,Tranexamic acid,도란사민[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,제1철(Ferrous),Ferrous Sulfate,훼로바유[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,제2철(Ferric),Ferric Hydroxide Sucrose,베노훼럼주[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,제2철(Ferric),Ferric Hydroxide Carboxymaltose,페린젝트주[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,금속철,Iron Acetyl Transferrin,볼그레액[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,금속철,Iron Acetyl Transferrin,볼그레캡슐[cite: 1]
[15. 혈액 및 조혈기관 질환],빈혈 치료제,조혈 비타민제,-,비타민 참고[cite: 1]
[15. 혈액 및 조혈기관 질환],조혈촉진 호르몬,-,Darbepoetin,네스프[cite: 1]
[15. 혈액 및 조혈기관 질환],조혈촉진 호르몬,-,Erythropoietin,에포카인[cite: 1]
