분류1,분류2,분류3(기전),성분명,상품명
[10. 눈/귀/치과/구강 약물],녹내장 치료제,탄산탈수효소 inh,Brinzolamide,아좁트
[10. 눈/귀/치과/구강 약물],녹내장 치료제,탄산탈수효소 inh,Dorzolamide,트루솝[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,베타 차단제(-olol),Carteolol,미케란 LA[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,베타 차단제(-olol),Timolol,현대하이파딜[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,베타 차단제(-olol),Nipradilol,베톱틱에스[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,베타 차단제(-olol),Betaxolol,티모프틱엑스[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,교감신경 자극제,Brimonidine,알파간피[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,부교감신경 자극제,Pilocarpine,오큐카르핀[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,Prostaglandin (-prost),Latanoprost,잘라탄[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,Prostaglandin (-prost),Bimatoprost,루미[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,Prostaglandin (-prost),Tafluprost,이즈바[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,Prostaglandin (-prost),Tafluprost,타플로탄[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,교감신경 자극제+베타 차단제,Brimonidine+Timolol,콤비간[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,Prostaglandin + 베타 차단제,Tafluprost+Timolol,코솝에스[cite: 1]
[10. 눈/귀/치과/구강 약물],녹내장 치료제,탄산탈수효소 inh+베타 차단제,Timolol+Dorzolamide,타프콤[cite: 1]
[10. 눈/귀/치과/구강 약물],백내장 치료제,-,Pirenoxine,가리유니점안액[cite: 1]
[10. 눈/귀/치과/구강 약물],당뇨병성 망막병증 치료제,경구,Dobesilate,독시움[cite: 1]
[10. 눈/귀/치과/구강 약물],당뇨병성 망막병증 치료제,경구,Troxerutin,포수루틴(취하)[cite: 1]
[10. 눈/귀/치과/구강 약물],기타 안과용제,안약 (충혈),Tetrahydrozoline,나조린[cite: 1]
[10. 눈/귀/치과/구강 약물],기타 안과용제,항히스타민제+국소혈관수축제,Naphazoline+Pheniramine,-[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드제,Fluorometholone,오큐메토론[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드제,Fluorometholone,플루메토론 0.1[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드제,Prednisolone,프레드포르테[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Fluorometholone+Gentamicin,디겐타안연고[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Fluorometholone+Gentamicin,디겐타점안액[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Dexa+Neomycin+Polymyxin B,네오덱스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Dexa+Neomycin+Polymyxin B,맥시트롤[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Dexa+Neomycin+Polymyxin B,포러스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Loteprednol+Tobramycin,로테 플러스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항생제,Dexa+Tobramycin,토브라덱스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,스테로이드+항충혈제,Fluorometholone+Tetrahydrozoline,후메론플러스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,비스테로이드성(NSAIDs),Ketorolac,아큐베일[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,비스테로이드성(NSAIDs),Diclofenac,바슈롬[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,비스테로이드성(NSAIDs),Bromfenac,브로낙[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항염증제,비스테로이드성(NSAIDs),Flurbiprofen,옵타낙[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Levofloxacin,크라비트[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Ofloxacin,타리비드[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Tosufloxacin,오젝스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Moxifloxacin,비가목스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Gatifloxacin,가티플로[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Chloramphenicol,참클로람페니콜[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Ciprofloxacin,씨펙스[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Tobramycin,토브라[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항생제,Oxytetracycline+Polymyxin B,테라마이신[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항바이러스제,Trifluridine,아큐플리딘[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항바이러스제,Acyclovir,바이클로버[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항바이러스제,Acyclovir,헤르페시드[cite: 1]
[10. 눈/귀/치과/구강 약물],안과용 항감염제,항바이러스제,Ganciclovir,버간점안겔[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액,Sodium Hyaluronate,뉴히알유니[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액,Sodium Hyaluronate,히아레인[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액,Trehalose,아이톡[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액,Trehalose,히아박[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액(CMC),Carboxymethylcellulose Sodium,리프레쉬플러스[cite: 1]
[10. 눈/귀/치과/구강 약물],각막보호제,인공누액(CMC),Carboxymethylcellulose Sodium,눈앤[cite: 1]
