분류1,분류2,분류3(기전),성분명,상품명
[3. 호흡기계질환],천식/COPD 치료제,교감신경성 기관지 확장제,Procaterol,메프친
[3. 호흡기계질환],천식/COPD 치료제,교감신경성 기관지 확장제,Bambuterol,밤벡
[3. 호흡기계질환],천식/COPD 치료제,교감신경성 기관지 확장제,Formoterol,아토크시럽
[3. 호흡기계질환],천식/COPD 치료제,교감신경성 기관지 확장제,Tulobuterol,투브롤패취
[3. 호흡기계질환],천식/COPD 치료제,SABA,Salbutamol,벤토린네뷸
[3. 호흡기계질환],천식/COPD 치료제,SABA,Salbutamol,벤토린흡입액
[3. 호흡기계질환],천식/COPD 치료제,SABA,Salbutamol,벤토린에보할러
[3. 호흡기계질환],천식/COPD 치료제,SABA,Salbutamol,살부트론
[3. 호흡기계질환],천식/COPD 치료제,SABA,Salbutamol,신일살부타몰
[3. 호흡기계질환],천식/COPD 치료제,Leukotriene 차단제,Montelukast,싱귤레어
[3. 호흡기계질환],천식/COPD 치료제,Leukotriene 차단제,Pranlukast,씨투스
[3. 호흡기계질환],천식/COPD 치료제,Leukotriene 차단제,Pranlukast,씨투스현탁정
[3. 호흡기계질환],천식/COPD 치료제,LT 차단제+항히스타민제,Montelukast+Levocetirizine,몬테리진
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Doxofylline,액시마
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Bamifylline,트렌타딜
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Aminophylline,대원아미노필린
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Acebrophylline,설포라제
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Theobromine,애니코프
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Theophylline,데오크레시럽
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Theophylline,테올란비
[3. 호흡기계질환],천식/COPD 치료제,Xanthine 유도체,Theophylline,유니필
[3. 호흡기계질환],호흡기 감염 치료제,-,Echinacea,에키나포스
[3. 호흡기계질환],호흡기 감염 치료제,-,Pelargonium Sidoides,움카민정
[3. 호흡기계질환],호흡기 감염 치료제,-,Pelargonium Sidoides,움카민시럽
[3. 호흡기계질환],호흡기 감염 치료제,-,Pelargonium 함유,움카민플러스
[3. 호흡기계질환],호흡기 감염 치료제,-,Pelargonium 함유,코대원에스
[3. 호흡기계질환],호흡기 감염 치료제,호흡촉진제,Caffeine,네오카프액
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS,Fluticasone,아뉴이티 100 엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS,Fluticasone,아뉴이티 200 엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS,Fluticasone,후릭소타이드 디스커스
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS,Budesonide,풀미코트
[3. 호흡기계질환],천식/COPD 치료제(흡입),LAMA,Umeclidinium,인크루즈엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),LAMA,Tiotropium,스피리바캡슐
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Salmeterol+Fluticasone,세레타이드 에보할러
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Salmeterol+Fluticasone,세레타이드 디스커스
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Budesonide+Formoterol,심비코트 터부헬러
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Budesonide+Formoterol,심비코트 라피헬러
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Fluticasone+Vilanterol,렐바 100 엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA,Fluticasone+Vilanterol,렐바 200 엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),LABA+LAMA,Olodaterol + Tiotropium,바헬바레스피맷
[3. 호흡기계질환],천식/COPD 치료제(흡입),ICS+LABA+LAMA,Fluticasone+Vilanterol+Umeclidinium,트렐리지엘립타
[3. 호흡기계질환],천식/COPD 치료제(흡입),LABA+LAMA,Vilanterol+Umeclidinium,아노로엘립타
[3. 호흡기계질환],비강 질환 치료제,비충혈제거제,Pseudoephedrine,슈다페드
[3. 호흡기계질환],비강 질환 치료제,비충혈제거제,Oxymetazoline,화이투벤
[3. 호흡기계질환],비강 질환 치료제,비충혈제거제,Xylometazoline,오트리빈
[3. 호흡기계질환],비강 질환 치료제,비충혈제거제,Xylometazoline,오트리빈에스
[3. 호흡기계질환],비강 질환 치료제,비강 항히스타민,Azelastine,아셉틴
[3. 호흡기계질환],비강 질환 치료제,비강 Beta 효능,Ipratropium,리노벤트
[3. 호흡기계질환],비강 질환 치료제,비강 세척제,NaCl,엔클비액
[3. 호흡기계질환],비강 질환 치료제,비강 세척제,NaCl,피지오머
[3. 호흡기계질환],비강 질환 치료제,비강 세척제,Dexpanthenol+hyaluronate,코앤
[3. 호흡기계질환],비강 질환 치료제,비강 스테로이드제,Mometasone,나자케어
[3. 호흡기계질환],비강 질환 치료제,비강 스테로이드제,Triamcinolone,나자코트
[3. 호흡기계질환],비강 질환 치료제,비강 스테로이드제,Fluticasone,아바미스
[3. 호흡기계질환],진해제,중추/마약성,Codeine,명문인산코데인
[3. 호흡기계질환],진해제,중추/마약성,Dihydrocodeine 함유,코푸정
[3. 호흡기계질환],진해제,중추/마약성,Dihydrocodeine 함유,코푸시럽
[3. 호흡기계질환],진해제,중추/마약성,Dihydrocodeine 함유,코대원에스시럽
[3. 호흡기계질환],진해제,중추/마약성,Dihydrocodeine 함유,코데날시럽
[3. 호흡기계질환],진해제,중추/비마약성,Dextromethorphan 함유,지노콜시럽
[3. 호흡기계질환],진해제,중추/비마약성,Dextromethorphan 함유,코푸시럽에스
[3. 호흡기계질환],진해제,중추/비마약성,Levocloperastine,프리비투스
[3. 호흡기계질환],진해제,중추/비마약성,Butamirate,-
[3. 호흡기계질환],진해제,말초성,Levodropropizine,레보투스시럽
[3. 호흡기계질환],진해제,말초성,Levodropropizine,레보틱스 CR
[3. 호흡기계질환],진해제,말초성,Benzonatate,지콜
[3. 호흡기계질환],진해제,말초성,Benzonatate,드로피진
[3. 호흡기계질환],거담제,점액 분비 촉진제,Ambroxol + Clenbuterol,암브로콜
[3. 호흡기계질환],거담제,점액 분비 촉진제,Ambroxol + Clenbuterol,암브로콜시럽
[3. 호흡기계질환],거담제,점액 분비 촉진제,Bromhexine,-
[3. 호흡기계질환],거담제,점액 분비 촉진제,Ambroxol,뮤코펙트
[3. 호흡기계질환],거담제,점액 분비 촉진제,Ambroxol,뮤코졸
