분류1,분류2,분류3(기전),성분명,상품명
[11. 비타민 및 영양제류],지용성 비타민,Vit 유사체,Ubidecarenone,데카키논
[11. 비타민 및 영양제류],지용성 비타민,Vit A,수출용만 존재,-[cite: 1]
[11. 비타민 및 영양제류],지용성 비타민,Vit D3,Cholecalciferol,D3 베이스[cite: 1]
[11. 비타민 및 영양제류],지용성 비타민,Vit D3,Cholecalciferol,디맥[cite: 1]
[11. 비타민 및 영양제류],지용성 비타민,Vit E,Tocopherol,그랑페롤[cite: 1]
[11. 비타민 및 영양제류],지용성 비타민,Vit K,Phytonadione,비타민 K1[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B1,Thiamine,신일티아민[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B1,Fursultiamine,갈디아민주[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B2,Riboflavin,리보비타주[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B3,Nicotinamide,아미나엑스[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B5,Dexpanthenol,덱스테놀주[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B6,Pyridoxine,신일피리독신[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B7,Biotin,비오틴골드[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B9,Folic acid,신일 폴산정[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B12,Cyanocobalamin,헤모닉스[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B12,Mecobalamin,메코민[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit B12,Hydroxocobalamin,헤모닉스[cite: 1]
[11. 비타민 및 영양제류],수용성 비타민,Vit C,Ascorbic acid,아스코르브산주[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,필수 아미노산,5-HydroxyTrp,5-에이치티피[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,필수 아미노산,S-Arg-L-Met,사메론[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,필수 아미노산,Carglumic acid,카바글루[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,필수 아미노산,Betaine,시스탄산[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Citrulline,시트룰린[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Cys,엘씨 500[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Asp-Orn,헤파멜즈[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Ala-Glu,디펩티벤[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Arg,대한엘아르기닌[cite: 1]
[11. 비타민 및 영양제류],아미노산 제제,비필수 아미노산,Arg-Asp,라라올라[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,대량무기질,Ca,JW 글루콘산칼슘[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,대량무기질,Mg,염화마그네슘[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,대량무기질,Mg,마구내신 50%-고위험[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,대량무기질,Na,염화나트륨-고위험[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,대량무기질,K,염화칼륨-고위험[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,Zn,징크트레이스[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,Zn,아치온 (비듬)[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,Mn,망가나주[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,Se,셀레나제티프로주[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,P,포스텐-고위험[cite: 1]
[11. 비타민 및 영양제류],무기질 제제,미량무기질,Fe,빈혈치료제 참고[cite: 1]
