분류1,분류2,분류3(기전),성분명,상품명
[9. 피부/피하조직질환],여드름 치료제-경구,항생제,Minocycline,미노씬
[9. 피부/피하조직질환],여드름 치료제-경구,항생제,Tetracycline,테라싸이클린[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-경구,Vit A 유도체,Isotretinoin,이소티논[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,각질 제거제,Azelaic Acid,아젤리아크림[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,각질 제거제,Salicylic acid,클리어틴외용[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,항생제,Clindamycin,클린디올[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,항염증 NSAIDs +항감염제,Ibuprofen piconol + Isopropyl,애크논크림[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,Vit B3 유도체,Nicotinamide,세비타비겔[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,1세대 VitA,Tretinoin,투앤티크림[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,1세대 VitA,Tretinoin,스티바에이(취하)[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,3세대 VitA,Adapalene,디페린겔[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,3세대 VitA,Adapalene+Benzoyl Peroxide,에피듀오[cite: 1]
[9. 피부/피하조직질환],여드름 치료제-외용,4세대 VitA,Trifarotene,아크리프[cite: 1]
[9. 피부/피하조직질환],기미 치료제,색소침착 피부 표백,Hydroquinone,도미나크림[cite: 1]
[9. 피부/피하조직질환],기미 치료제,색소침착 피부 표백,Tranexamic acid,도란사민[cite: 1]
[9. 피부/피하조직질환],기미 치료제,기미 복합제,Hydrocortisone+Hydroquinone+Tretinoin,멜라논크림[cite: 1]
[9. 피부/피하조직질환],각질 용해제,-,5-FU + Salicylic acid,베루말[cite: 1]
[9. 피부/피하조직질환],각질 용해제,-,Salicylic acid,티눈밴드[cite: 1]
[9. 피부/피하조직질환],각질 용해제,-,Urea,유그린에프[cite: 1]
[9. 피부/피하조직질환],탈모 치료제,경구용 제제,Finasteride,프로페시아[cite: 1]
[9. 피부/피하조직질환],탈모 치료제,보조 경구제,Dexpanthenol,덱스노실[cite: 1]
[9. 피부/피하조직질환],탈모 치료제,보조 경구제,Panththenate+Keratin+Cysteine+Yeast+P-aminobenzoic acid+Thiamine,판시딜캡슐[cite: 1]
