분류1,분류2,분류3(기전),성분명,상품명
[8. 비뇨생식계 질환],배뇨장애 치료제,교감신경 억제제 (a-blocker),Tamsulosin,한미탐스
[8. 비뇨생식계 질환],배뇨장애 치료제,교감신경 억제제 (a-blocker),Terazosin,하이트린[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,교감신경 억제제 (a-blocker),Doxazosin,카두라[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,교감신경 억제제 (a-blocker),Alfuzosin,자트랄 XL[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,교감신경 억제제 (a-blocker),Silodosin,트루패스구붕[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,부교감신경흥분,Bethanechol,마이토닌[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,5-a-reductase i,Dutasteride,아보다트[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,5-a-reductase i,Finasteride,프로스카[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,a-blocker+5-a-reductase i,Dutasteride + Tamsulosin,듀오다트[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Naftopidil,플리바스[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Oxybutynin,디트로판[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Tolterodine,디트루시톨 SR[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Solifenacin,베시케어[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Mirabegron,베타미가[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Propiverine,비유피 4[cite: 1]
[8. 비뇨생식계 질환],배뇨장애 치료제,기타,Serenoa Ext.,쏘메토[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Sevelamer,렌벨라[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Sevelamer,렌벨라산[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Ferric citrate,네폭실[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Lanthanum,포스레놀(취하)[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Sucroferric,벨포로 츄어블[cite: 1]
[8. 비뇨생식계 질환],신부전증,고인산혈증 치료,Calcium Acetate,포슬로[cite: 1]
[8. 비뇨생식계 질환],신부전증,고칼륨혈증 치료,Polystyrene Sulfonate Ca,아가메이트[cite: 1]
